Date,Distric,Location,Latitude,Longitude,Rainfalls_mm,Relative_Humidity_Day,Relative_Humidity_Night,Temperature_Min,Temperature_Max,Average_Wind_Speed_km/h,Land Cover,Landform,Disaster Occurrence,Disaster Type,Severity,Nearest Shelter_km
5/8/2021,Rathnapura,Godakawela,6.2992,80.2627,37.7,81,97,23.2,33.5,2.3,Forest,Plateau,Yes,Flood,High,12.5
1/16/2021,Rathnapura,Kalawana,6.2992,80.2627,62.8,85,69,23.1,30.6,1.8,Forest,Plateau,No,No,No,10.1
10/27/2021,Rathnapura,Opanayaka,6.7182,80.3129,5.1,83,96,22.7,31.1,1.6,Forest,Mountain,No,No,No,14.1
1/10/2021,Rathnapura,Weligepola,6.2829,80.7728,0,85,84,22.5,29.7,2.7,Forest,Valley,No,No,No,12.5
9/15/2021,Rathnapura,Kiriella,6.7182,80.3129,24.9,87,96,24.2,31,1.8,Forest,Plateau,Yes,Flood,High,11.2
5/12/2021,Rathnapura,Godakawela,6.7182,80.3129,27.9,85,96,24.8,32,1.4,Forest,Valley,Yes,LandSlide,Medium,18.4
4/20/2021,Rathnapura,Nivithigala,6.6828,80.3992,3.5,81,97,24,33.5,3.1,Grassland,Plateau,No,No,No,8
5/9/2021,Rathnapura,Godakawela,6.2829,80.7728,25.2,77,98,23,34.4,1.8,Forest,Valley,Yes,Flood,High,8
6/22/2021,Rathnapura,Nivithigala,6.6828,80.3992,2.7,81,81,24.1,30.6,2.2,Urban,Mountain,No,No,No,7.4
8/15/2021,Rathnapura,Nivithigala,6.2829,80.7728,0,76,89,25,31.1,3.1,Forest,Plateau,No,No,No,8.9
10/18/2021,Rathnapura,Opanayaka,6.3993,80.6283,5.8,76,95,23.6,31.1,3.2,Grassland,Plateau,Yes,Flood,Medium,9.2
1/2/2021,Rathnapura,Elapatha,6.2992,80.2627,2.5,77,91,22.8,31.9,1.8,Forest,Plateau,No,No,No,11.2
2/5/2021,Rathnapura,Weligepola,6.6228,80.1178,0,69,96,21.4,32.2,2.5,Forest,Valley,No,No,No,9.5
3/14/2021,Rathnapura,Kolonna,6.2829,80.7728,5.6,82,96,23.6,33.6,2.7,Forest,Valley,No,No,No,8.9
8/7/2021,Rathnapura,Pelmadulla,6.2992,80.2627,17.8,89,93,24.2,28.7,3.1,Forest,Valley,No,No,No,7.2
8/5/2016,Rathnapura,Godakawela,6.2992,80.2627,0,65,80,25.2,32.5,1.4,Urban,Mountain,No,No,No,16.7
5/2/2016,Rathnapura,Godakawela,6.6828,80.3992,15.9,88,98,23.8,34,2.3,Forest,Plateau,No,No,No,12.5
7/8/2021,Rathnapura,Opanayaka,6.9826,80.6728,0.6,81,94,23.4,31.9,1.6,Forest,Plateau,No,No,No,12.5
5/14/2016,Rathnapura,Godakawela,6.2829,80.7728,35,88,98,23.9,31.3,3.1,Forest,Mountain,Yes,Flood,Medium,18.4
4/9/2016,Rathnapura,Godakawela,6.2829,80.7728,11.9,72,96,24.5,35.2,2.1,Grassland,Plateau,No,No,No,20.2
2/19/2016,Rathnapura,Kiriella,6.2992,80.2627,2.7,75,98,23,34.6,1.6,Forest,Mountain,No,No,No,11.2
3/9/2016,Rathnapura,Godakawela,6.9826,80.6728,0,72,95,24.4,35.3,1.8,Grassland,Valley,No,No,No,20.2
5/17/2016,Rathnapura,Kalawana,6.7182,80.3129,47.7,95,97,23.9,29.3,1.8,Forest,Mountain,Yes,Flood,Medium,12.5
3/23/2016,Rathnapura,Nivithigala,6.9826,80.6728,0,65,90,23.6,35.8,2.5,Forest,Valley,No,No,No,9.2
3/25/2016,Rathnapura,Balangoda,6.2992,80.2627,0,63,96,23.7,36.2,1.8,Grassland,Valley,No,No,No,10.1
8/16/2021,Rathnapura,Kalawana,6.3993,80.6283,1,75,94,23.7,30.8,2.5,Urban,Mountain,No,No,No,20.2
1/21/2021,Rathnapura,Pelmadulla,6.9826,80.6728,13.9,75,71,23.6,34.1,2.3,Grassland,Plateau,No,No,No,20.2
3/29/2016,Rathnapura,Pelmadulla,6.7182,80.3129,10.1,68,98,23,35.4,2.1,Urban,Valley,Yes,Flood,Medium,8.9
5/12/2016,Rathnapura,Godakawela,6.6228,80.1178,23.8,90,99,23.7,31.3,1.6,Forest,Mountain,No,No,No,8.9
9/18/2021,Rathnapura,Ayagama,6.2992,80.2627,14.8,85,97,24,31.2,3.1,Forest,Mountain,Yes,Flood,High,8.9
5/17/2016,Rathnapura,Kalawana,6.7182,80.3129,47.7,95,97,23.9,29.3,1.8,Forest,Mountain,Yes,Flood,Medium,12.5
2/17/2016,Rathnapura,Kolonna,6.9826,80.6728,0,71,95,22.7,33.6,2.3,Urban,Valley,No,No,No,9.5
3/5/2016,Rathnapura,Nivithigala,6.2829,80.7728,4.9,71,95,24.5,36.3,2.7,Forest,Plateau,No,No,No,11.2
5/15/2016,Rathnapura,Godakawela,6.3993,80.6283,136,97,97,23.8,25.1,2.5,Forest,Valley,Yes,Landslide,Medium,16.7
10/23/2021,Rathnapura,Weligepola,6.2992,80.2627,1.3,71,96,22.7,32.1,3.1,Grassland,Plateau,No,No,No,8.9
5/14/2021,Rathnapura,Nivithigala,6.6228,80.1178,3.1,79,94,22.8,31.5,2.2,Forest,Valley,No,No,No,14.1
4/24/2021,Rathnapura,Godakawela,6.2992,80.2627,11.7,81,96,23.9,34,2.3,Urban,Plateau,No,No,No,16.7
3/3/2021,Rathnapura,Balangoda,6.7182,80.3129,0,55,96,21.7,35.7,2.3,Forest,Plateau,No,No,No,11.2
3/31/2016,Rathnapura,Pelmadulla,6.6228,80.1178,0,77,94,21.7,34.5,2.3,Grassland,Mountain,No,No,No,7.2
3/23/2016,Rathnapura,Nivithigala,6.9826,80.6728,0,65,90,23.6,35.8,2.5,Forest,Valley,No,No,No,9.2
5/2/2016,Rathnapura,Godakawela,6.6828,80.3992,15.9,88,98,23.8,34,2.3,Forest,Plateau,No,No,No,12.5
3/7/2021,Rathnapura,Embilipitiya,6.2829,80.7728,0,77,97,21.5,33.6,2.7,Grassland,Valley,No,No,No,20.2
1/18/2021,Rathnapura,Weligepola,6.3993,80.6283,14.8,82,85,22.7,31.5,2.7,Forest,Valley,No,No,No,12.5
5/11/2021,Rathnapura,Godakawela,6.6828,80.3992,48.8,70,96,24,34,1.8,Grassland,Mountain,Yes,Flood,High,20.2
9/17/2021,Rathnapura,Elapatha,6.6228,80.1178,24.8,88,97,24.1,30.4,2.7,Forest,Valley,Yes,Flood,High,8
8/31/2021,Rathnapura,Opanayaka,6.6828,80.3992,0,73,96,24,32.1,2.3,Urban,Valley,No,No,No,11.2
2/19/2021,Rathnapura,Godakawela,6.6228,80.1178,6.6,67,96,23.3,34.1,1.6,Urban,Mountain,No,No,No,8.9
8/8/2021,Rathnapura,Nivithigala,6.2829,80.7728,21.9,95,95,23.2,27.5,2.7,Urban,Mountain,No,No,No,10.5
5/24/2021,Rathnapura,Balangoda,6.3993,80.6283,97.6,93,96,24.1,28,2.4,Grassland,Valley,No,No,No,8
8/19/2016,Rathnapura,Pelmadulla,6.2992,80.2627,0,76,90,24.4,30.9,2,Grassland,Plateau,No,No,No,12.5
10/30/2021,Rathnapura,Kalawana,6.2992,80.2627,10.5,86,96,23.6,30.2,2.7,Grassland,Mountain,No,No,No,12.3
7/9/2016,Rathnapura,Rathnapura,6.2829,80.7728,1.5,75,90,25.1,31.3,2.5,Urban,Mountain,No,No,No,20.2
4/10/2016,Rathnapura,Embilipitiya,6.3993,80.6283,7.7,77,98,24.2,34.2,3.3,Forest,Mountain,No,No,No,18.4
3/27/2016,Rathnapura,Godakawela,6.3993,80.6283,20.6,60,97,24.7,36,2.6,Urban,Valley,Yes,Flood,Medium,12.5
6/3/2016,Rathnapura,Eheliyagoda,6.2992,80.2627,18,78,98,25,32.1,1.5,Grassland,Mountain,No,No,No,20.2
2/5/2021,Rathnapura,Weligepola,6.6228,80.1178,0,69,96,21.4,32.2,2.5,Forest,Valley,No,No,No,9.5
3/28/2016,Rathnapura,Opanayaka,6.6828,80.3992,5.8,72,98,23.5,35.9,2.5,Forest,Mountain,Yes,Flood,Medium,8
5/15/2016,Rathnapura,Godakawela,6.3993,80.6283,136,97,97,23.8,25.1,2.5,Forest,Valley,Yes,Landslide,Medium,16.7
9/15/2021,Rathnapura,Kiriella,6.7182,80.3129,24.9,87,96,24.2,31,1.8,Forest,Plateau,Yes,Flood,High,11.2
9/15/2021,Rathnapura,Kiriella,6.7182,80.3129,24.9,87,96,24.2,31,1.8,Forest,Plateau,Yes,Flood,High,11.2
9/19/2021,Rathnapura,Imbulpe,6.2829,80.7728,0,75,94,23.5,32.7,2.7,Grassland,Valley,Yes,LandSlide,Medium,20.2
3/29/2016,Rathnapura,Pelmadulla,6.7182,80.3129,10.1,68,98,23,35.4,2.1,Urban,Valley,Yes,Flood,Medium,8.9
6/13/2016,Rathnapura,Kalawana,6.6828,80.3992,5.1,81,95,23.7,30.4,2.7,Grassland,Plateau,No,No,No,10.1
2/10/2021,Rathnapura,Pelmadulla,6.7182,80.3129,0,74,95,21.2,33.2,2.5,Forest,Valley,No,No,No,8.9
5/28/2016,Rathnapura,Kalawana,6.2829,80.7728,11.1,87,99,23,29.3,1.4,Urban,Plateau,No,No,No,20.2
6/18/2021,Rathnapura,Weligepola,6.6228,80.1178,0.4,69,69,24.6,32.6,2.3,Forest,Valley,No,No,No,16.7
10/16/2021,Rathnapura,Ayagama,6.2992,80.2627,16.2,80,95,24.4,29.2,2.1,Grassland,Plateau,Yes,Flood,Medium,7.4
5/24/2016,Rathnapura,Pelmadulla,6.7182,80.3129,15.6,82,97,25.3,31.1,2.3,Forest,Plateau,No,No,No,11.2
4/17/2016,Rathnapura,Imbulpe,6.3993,80.6283,2.7,84,98,24.6,33.6,2.5,Forest,Mountain,No,No,No,9.2
9/18/2021,Rathnapura,Ayagama,6.2992,80.2627,14.8,85,97,24,31.2,3.1,Forest,Mountain,Yes,Flood,High,8.9
10/19/2021,Rathnapura,Pelmadulla,6.6828,80.3992,47.1,82,96,23.4,32.2,3.4,Forest,Plateau,Yes,Flood,Medium,8.9
6/9/2021,Rathnapura,Balangoda,6.7182,80.3129,12,82,82,23,31.5,2.5,Urban,Plateau,No,No,No,8.9
3/30/2016,Rathnapura,Pelmadulla,6.9826,80.6728,87.6,80,98,23,33.6,2.5,Grassland,Plateau,Yes,Flood,Medium,4.6
8/6/2016,Rathnapura,Godakawela,6.2829,80.7728,0,63,83,25.3,32.9,1.3,Grassland,Valley,No,No,No,14.1
5/22/2021,Rathnapura,Nivithigala,6.2992,80.2627,15.4,81,90,23,31.5,2.5,Grassland,Valley,No,No,No,11.2
9/15/2021,Rathnapura,Kiriella,6.7182,80.3129,24.9,87,96,24.2,31,1.8,Forest,Plateau,Yes,Flood,High,11.2
3/27/2016,Rathnapura,Godakawela,6.3993,80.6283,20.6,60,97,24.7,36,2.6,Urban,Valley,Yes,Flood,Medium,12.5
6/8/2016,Rathnapura,Ayagama,6.9826,80.6728,11.2,88,98,23.3,30.6,2.3,Grassland,Mountain,No,No,No,11.9
5/14/2016,Rathnapura,Godakawela,6.2829,80.7728,35,88,98,23.9,31.3,3.1,Forest,Mountain,Yes,Flood,Medium,18.4
10/19/2021,Rathnapura,Pelmadulla,6.6828,80.3992,47.1,82,96,23.4,32.2,3.4,Forest,Plateau,Yes,Flood,Medium,8.9
5/14/2016,Rathnapura,Godakawela,6.2829,80.7728,35,88,98,23.9,31.3,3.1,Forest,Mountain,Yes,Flood,Medium,18.4
2/20/2016,Rathnapura,Rathnapura,6.2829,80.7728,4.5,85,98,23.8,32.9,2.7,Forest,Valley,Yes,Flood,Medium,12.5
5/12/2021,Rathnapura,Godakawela,6.7182,80.3129,27.9,85,96,24.8,32,1.4,Forest,Valley,Yes,LandSlide,Medium,18.4
10/19/2021,Rathnapura,Pelmadulla,6.6828,80.3992,47.1,82,96,23.4,32.2,3.4,Forest,Plateau,Yes,Flood,Medium,8.9
5/30/2016,Rathnapura,Weligepola,6.6828,80.3992,44.8,87,98,23.9,31,2.2,Grassland,Valley,No,No,No,16.7
6/24/2021,Rathnapura,Balangoda,6.9826,80.6728,40.9,89,89,23.2,30.5,1.6,Forest,Mountain,No,No,No,9.2
10/19/2021,Rathnapura,Pelmadulla,6.6828,80.3992,47.1,82,96,23.4,32.2,3.4,Forest,Plateau,Yes,Flood,Medium,8.9
5/12/2021,Rathnapura,Godakawela,6.7182,80.3129,27.9,85,96,24.8,32,1.4,Forest,Valley,Yes,LandSlide,Medium,18.4
5/9/2016,Rathnapura,Godakawela,6.6828,80.3992,13.3,86,98,23.8,33.8,2.5,Grassland,Plateau,No,No,No,11.2
6/7/2021,Rathnapura,Nivithigala,6.3993,80.6283,14,77,77,22.7,33.1,2.7,Urban,Mountain,No,No,No,12.5
3/27/2016,Rathnapura,Godakawela,6.3993,80.6283,20.6,60,97,24.7,36,2.6,Urban,Valley,Yes,Flood,Medium,12.5
5/25/2021,Rathnapura,Weligepola,6.6828,80.3992,23.3,93,90,23.8,29.4,3,Grassland,Valley,No,No,No,8.9
2/1/2021,Rathnapura,Godakawela,6.3993,80.6283,17.7,79,79,23,32.4,1.8,Grassland,Plateau,No,No,No,11.9
3/28/2016,Rathnapura,Opanayaka,6.6828,80.3992,5.8,72,98,23.5,35.9,2.5,Forest,Mountain,Yes,Flood,Medium,8
1/18/2021,Rathnapura,Weligepola,6.3993,80.6283,14.8,82,85,22.7,31.5,2.7,Forest,Valley,No,No,No,12.5
6/4/2021,Rathnapura,Imbulpe,6.6228,80.1178,53.7,91,91,23.2,29.7,3.4,Forest,Plateau,No,No,No,9.5
2/5/2016,Rathnapura,Elapatha,6.2992,80.2627,0,70,91,21.7,32.3,2.7,Urban,Valley,No,No,No,12.5
5/14/2016,Rathnapura,Godakawela,6.2829,80.7728,35,88,98,23.9,31.3,3.1,Forest,Mountain,Yes,Flood,Medium,18.4
5/15/2016,Rathnapura,Godakawela,6.3993,80.6283,136,97,97,23.8,25.1,2.5,Forest,Valley,Yes,Landslide,Medium,16.7
6/10/2016,Rathnapura,Opanayaka,6.2992,80.2627,16.2,83,96,23.5,30.5,3,Urban,Plateau,No,No,No,8.9
3/29/2021,Rathnapura,Opanayaka,6.3993,80.6283,20.6,74,98,21.7,33.6,3.1,Forest,Plateau,No,No,No,18.4
8/21/2021,Rathnapura,Godakawela,6.2992,80.2627,30.5,89,97,24.2,30.1,2.7,Urban,Plateau,No,No,No,11.9
3/27/2016,Rathnapura,Godakawela,6.3993,80.6283,20.6,60,97,24.7,36,2.6,Urban,Valley,Yes,Flood,Medium,12.5
6/6/2016,Rathnapura,Rathnapura,6.6828,80.3992,0.1,71,96,25,32.4,2.1,Forest,Mountain,No,No,No,14.1
6/20/2021,Rathnapura,Opanayaka,6.2829,80.7728,0,68,68,23.7,33.1,1.6,Grassland,Mountain,No,No,No,12.5
8/26/2021,Rathnapura,Nivithigala,6.9826,80.6728,47,87,96,23.5,29.7,1.8,Forest,Plateau,No,No,No,10.1
9/16/2021,Rathnapura,Rathnapura,6.9826,80.6728,14.7,85,94,23.2,30.6,1.6,Forest,Mountain,Yes,Flood,High,12.5
6/7/2021,Rathnapura,Nivithigala,6.3993,80.6283,14,77,77,22.7,33.1,2.7,Urban,Mountain,No,No,No,12.5
3/22/2016,Rathnapura,Godakawela,6.7182,80.3129,0,69,94,23.8,35.1,2.2,Urban,Valley,No,No,No,8.9
9/19/2021,Rathnapura,Imbulpe,6.2829,80.7728,0,75,94,23.5,32.7,2.7,Grassland,Valley,Yes,LandSlide,Medium,20.2
10/19/2021,Rathnapura,Pelmadulla,6.6828,80.3992,47.1,82,96,23.4,32.2,3.4,Forest,Plateau,Yes,Flood,Medium,8.9
3/6/2016,Rathnapura,Kalawana,6.3993,80.6283,1.2,69,97,24,34.7,3.1,Urban,Mountain,No,No,No,12.5
5/28/2016,Rathnapura,Kalawana,6.2829,80.7728,11.1,87,99,23,29.3,1.4,Urban,Plateau,No,No,No,20.2
5/7/2016,Rathnapura,Balangoda,6.2829,80.7728,40.7,84,99,23.4,32.1,2.7,Urban,Plateau,Yes,LandSlide,High,9.5
4/3/2016,Rathnapura,Nivithigala,6.3993,80.6283,32.7,70,98,23.3,35.6,3.1,Grassland,Valley,No,No,No,11.5
8/13/2021,Rathnapura,Opanayaka,6.6228,80.1178,11.5,87,92,23.5,29.2,2.7,Urban,Mountain,No,No,No,12.5
2/16/2016,Rathnapura,Embilipitiya,6.7182,80.3129,0,80,96,22.9,31.7,2.5,Forest,Plateau,No,No,No,9.2
6/23/2016,Rathnapura,Rathnapura,6.6228,80.1178,0,68,81,25.7,30.6,2.7,Grassland,Valley,No,No,No,10.8
2/20/2016,Rathnapura,Rathnapura,6.2829,80.7728,4.5,85,98,23.8,32.9,2.7,Forest,Valley,Yes,Flood,Medium,12.5
8/7/2016,Rathnapura,Godakawela,6.3993,80.6283,0.2,66,88,24.8,32.3,2.2,Forest,Plateau,No,No,No,12.5
5/12/2021,Rathnapura,Godakawela,6.7182,80.3129,27.9,85,96,24.8,32,1.4,Forest,Valley,Yes,LandSlide,Medium,18.4
4/25/2016,Rathnapura,Kahawaththa,6.6828,80.3992,0,67,95,24.9,35,2.5,Grassland,Valley,No,No,No,12.5
10/16/2021,Rathnapura,Ayagama,6.2992,80.2627,16.2,80,95,24.4,29.2,2.1,Grassland,Plateau,Yes,Flood,Medium,7.4
9/17/2021,Rathnapura,Elapatha,6.6228,80.1178,24.8,88,97,24.1,30.4,2.7,Forest,Valley,Yes,Flood,High,8
2/26/2021,Rathnapura,Imbulpe,6.6228,80.1178,0,67,96,22.1,34.6,3,Urban,Plateau,No,No,No,7.4
5/7/2016,Rathnapura,Balangoda,6.2829,80.7728,40.7,84,99,23.4,32.1,2.7,Urban,Plateau,Yes,LandSlide,High,9.5
4/5/2016,Rathnapura,Balangoda,6.7182,80.3129,4.3,75,98,23.8,34.4,2.7,Forest,Mountain,No,No,No,11.2
1/15/2021,Rathnapura,Nivithigala,6.6228,80.1178,0,85,71,22.6,30.3,2.3,Forest,Valley,No,No,No,9.5
7/9/2021,Rathnapura,Pelmadulla,6.6228,80.1178,134,93,94,24.4,28.8,1.9,Urban,Plateau,No,No,No,8
9/15/2021,Rathnapura,Kiriella,6.7182,80.3129,24.9,87,96,24.2,31,1.8,Forest,Plateau,Yes,Flood,High,11.2
6/25/2016,Rathnapura,Ayagama,6.2829,80.7728,0,67,82,26.1,32,2.5,Urban,Valley,No,No,No,12.5
9/16/2021,Rathnapura,Rathnapura,6.9826,80.6728,14.7,85,94,23.2,30.6,1.6,Forest,Mountain,Yes,Flood,High,12.5
3/29/2016,Rathnapura,Pelmadulla,6.7182,80.3129,10.1,68,98,23,35.4,2.1,Urban,Valley,Yes,Flood,Medium,8.9
2/20/2016,Rathnapura,Rathnapura,6.2829,80.7728,4.5,85,98,23.8,32.9,2.7,Forest,Valley,Yes,Flood,Medium,12.5
10/20/2021,Rathnapura,Nivithigala,6.7182,80.3129,4,83,97,22,30.8,3,Urban,Plateau,Yes,LandSlide,Medium,11.2
3/9/2021,Rathnapura,Kolonna,6.6828,80.3992,2.5,83,97,21.9,33.8,3.1,Forest,Mountain,No,No,No,16.7
10/15/2021,Rathnapura,Elapatha,6.6228,80.1178,1.5,75,92,24.3,32.2,2,Grassland,Plateau,No,No,No,11.9
2/8/2021,Rathnapura,Pelmadulla,6.3993,80.6283,4.9,81,96,22.5,31.7,1.5,Grassland,Valley,No,No,No,12.5
10/21/2021,Rathnapura,Kalawana,6.9826,80.6728,5.5,86,96,23,32.5,2.9,Forest,Plateau,No,No,No,12.5
5/3/2021,Rathnapura,Kolonna,6.3993,80.6283,88.3,80,98,23.3,33.4,2.7,Urban,Valley,No,No,No,11.2
10/7/2021,Rathnapura,Weligepola,6.9826,80.6728,0,76,95,22.9,32.4,2.3,Urban,Plateau,No,No,No,14.1
3/30/2016,Rathnapura,Pelmadulla,6.9826,80.6728,87.6,80,98,23,33.6,2.5,Grassland,Plateau,Yes,Flood,Medium,4.6
6/1/2021,Rathnapura,Rathnapura,6.6828,80.3992,1,70,70,24.4,32.2,2.1,Forest,Valley,No,No,No,7.4
1/27/2021,Rathnapura,Godakawela,6.7182,80.3129,0,65,81,20.6,32.7,3.1,Grassland,Plateau,No,No,No,20.2
7/30/2016,Rathnapura,Nivithigala,6.2829,80.7728,24.6,85,96,22.7,29.2,3.1,Grassland,Valley,No,No,No,11.2
7/2/2021,Rathnapura,Godakawela,6.6228,80.1178,5.6,75,95,21.9,31.3,2.9,Forest,Plateau,No,No,No,7.2
9/17/2021,Rathnapura,Elapatha,6.6228,80.1178,24.8,88,97,24.1,30.4,2.7,Forest,Valley,Yes,Flood,High,8
1/22/2021,Rathnapura,Nivithigala,6.6228,80.1178,1.6,75,71,23.9,33.7,1.8,Grassland,Mountain,No,No,No,18.4
6/12/2016,Rathnapura,Nivithigala,6.3993,80.6283,26.2,82,97,24,31,2.9,Urban,Mountain,No,No,No,9.5
3/25/2016,Rathnapura,Balangoda,6.2992,80.2627,0,63,96,23.7,36.2,1.8,Grassland,Valley,No,No,No,10.1
3/16/2021,Rathnapura,Weligepola,6.6828,80.3992,2.5,75,94,22.4,33.4,2.5,Urban,Mountain,No,No,No,9.5
8/4/2021,Rathnapura,Godakawela,6.7182,80.3129,0.5,78,88,24.9,31.3,1.8,Grassland,Valley,No,No,No,8
7/1/2016,Rathnapura,Balangoda,6.2992,80.2627,0,69,77,25.2,31.3,2.7,Forest,Valley,No,No,No,14.1
4/19/2021,Rathnapura,Godakawela,6.3993,80.6283,3.1,72,96,23.4,33.5,2.7,Urban,Plateau,No,No,No,12.5
5/24/2021,Rathnapura,Balangoda,6.3993,80.6283,97.6,93,96,24.1,28,2.4,Grassland,Valley,No,No,No,8
3/27/2016,Rathnapura,Godakawela,6.3993,80.6283,20.6,60,97,24.7,36,2.6,Urban,Valley,Yes,Flood,Medium,12.5
4/28/2016,Rathnapura,Nivithigala,6.6228,80.1178,7.4,74,99,23.3,34.8,1.6,Urban,Plateau,No,No,No,20.2
10/20/2021,Rathnapura,Nivithigala,6.7182,80.3129,4,83,97,22,30.8,3,Urban,Plateau,Yes,LandSlide,Medium,11.2
2/25/2021,Rathnapura,Ayagama,6.9826,80.6728,0.1,71,96,22.3,34.1,3.4,Forest,Valley,No,No,No,11.9
6/8/2021,Rathnapura,Kalawana,6.6828,80.3992,32.5,91,91,24,29.3,3.1,Forest,Valley,No,No,No,8
7/21/2021,Rathnapura,Embilipitiya,6.7182,80.3129,8,68,84,25.9,31.4,1.8,Grassland,Plateau,No,No,No,10.1
2/21/2021,Rathnapura,Kuruwita,6.2829,80.7728,2.1,73,97,23.2,35,2,Urban,Plateau,No,No,No,18.4
6/29/2016,Rathnapura,Nivithigala,6.9826,80.6728,0.3,73,88,24.8,31.5,1.9,Urban,Valley,No,No,No,18.4
5/7/2016,Rathnapura,Balangoda,6.2829,80.7728,40.7,84,99,23.4,32.1,2.7,Urban,Plateau,Yes,LandSlide,High,9.5
3/29/2016,Rathnapura,Pelmadulla,6.7182,80.3129,10.1,68,98,23,35.4,2.1,Urban,Valley,Yes,Flood,Medium,8.9
8/11/2021,Rathnapura,Weligepola,6.7182,80.3129,20,79,90,23.9,30.6,1.6,Urban,Mountain,No,No,No,10.8
6/5/2021,Rathnapura,Opanayaka,6.2992,80.2627,5.5,84,84,23.3,30.5,3,Grassland,Mountain,Yes,LandSlide,High,10.1
5/16/2016,Rathnapura,Nivithigala,6.6828,80.3992,63.1,93,97,22.6,25.9,2.3,Forest,Plateau,Yes,Landslide,Medium,14.1
